Gene Symbol Herein	Gene Symbol ZFIN	Gene Symbol Source	Species	Higher-level taxon	Evidence	Additional Details	S	Pub 
Col2a1	col2a1a	col2a1 (col2a1a in (Crotwell and Mabee, 2007) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Crotwell and Mabee, 2007) 
Col2a1	col2a1a	col2a1 (col2a1a as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
Col2a1	col2a1b	col2a1b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Duran et al., 2011)
Col2a1	col2a1b	col2a1b	zebrafish	Actinopterygii: Teleostei	knockdown		2	(Duran et al., 2011)
Col2a1	col2a1b	col2a1b	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR	3	(Duran et al., 2011)
ctnnb1		B-catenin	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	isolatedÂ B-cateninÂ cDNA fragments and examined their expression pattern	3	(Sakamoto et al., 2009) 
Cyp26b1		c6b1	mouse	Sarcopterygii: Mammalia	in situ	(Yashiro et al., 2004)	3	(Freitas et al., 2012)
Cyp26b1		cyp26b1	mouse	Sarcopterygii: Mammalia	knockout	(Yashiro et al., 2004)	1	(Freitas et al., 2012)
Cyp26b1		Cyp26b1	mouse	Sarcopterygii: Mammalia	knockout	(Yashiro et al., 2004)	1	(Zeller, 2010)
Cyp26b1	cyp26b1	Cyp26b1	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
Dkk1		Dkk1	chick	Sarcopterygii: Aves	in situ	(Knobloch et al., 2007)	3	(Zeller, 2010)
Dll		Dll	Chaetopterus variopedatus	Protostome: Annelida	in situ		3	(Panganiban et al., 1997)
Dll		Dll	Molgula occidentalis	Urochordata	in situ		3	(Panganiban et al., 1997)
Dll		Dll	Peripatopsis capensis	Protostome: Onychophoran	in situ		3	(Panganiban et al., 1997)
Dll		Dll	Strongylocentrotus droebachiensis	Echinodermata	in situ		3	(Panganiban et al., 1997)
Dlx (family)		Dll,Dlx	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Freitas et al., 2006)
Dlx (family)		Dlx (family)	mouse	Sarcopterygii: Mammalia	in situ		3	(Panganiban et al., 1997)
Dlx1		Dlx1	mouse	Sarcopterygii: Mammalia	in situ	(Dolle et al., 1992)	3	(Sordino and Duboule, 1996)
Dlx2	dlx2a	dlx2a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yan et al., 2005) 
Dlx2	dlx2a	dlx2a	zebrafish	Actinopterygii: Teleostei	sequencing		4	(Yan et al., 2005) 
Dlx2	dlx2a	Dlx2a in  dlx (family); ZFIN for (Akimenko et al., 1994)	zebrafish	Actinopterygii: Teleostei	in situ	whole mount (Akimenko et al., 1994)	3	(Yano and Tamura, 2013)
Dlx2a	dlx2a	Dlx2a in  dlx (family); ZFIN for (Akimenko et al., 1994)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1994)	3	(Ruvinsky et al., 2000)
Dlx3b	dlx3b	Dlx3b in  dlx (family); ZFIN for (Akimenko et al., 1994)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1994)	3	(Ruvinsky et al., 2000)
Dlx5a	dlx5a	Dlx5a in  dlx (family); ZFIN for (Akimenko et al., 1994)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1994)	3	(Ruvinsky et al., 2000)
dlx5a	dlx5a	dlx5a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yano et al., 2012)
dusp6	mkp3	mkp3	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yano et al., 2012)
En1		Engrailed-1	chick	Sarcopterygii: Aves	ectopic expression	Transplantation of En-1-overexpressing ectoderm	2	(Tanaka et al., 2002)  
En1		En-1	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	ectopic expression	(Tanaka et al., 1998)	2	(Cole and Currie, 2007) 
En1		En-1	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	(Tanaka et al., 2002)	3	(Nuno de la Rosa et al., 2014)
En1		Engrailed-1	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole-mount in situ hybridization	3	(Tanaka et al., 2002)  
En1		En1	mouse	Sarcopterygii: Mammalia	in situ	(Adamska et al., 2004)	3	(Abbasi, 2011)
En1		En1	mouse	Sarcopterygii: Mammalia	knockout	(Wurst et al., 1994)	1	(Sordino and Duboule, 1996)
En1		En1	mouse	Sarcopterygii: Mammalia	knockout	(Litingtung et al., 2002)	1	(Yano and Tamura, 2013)
En1	eng1a	Engrailed  (eng1a in ZFIN for (Hatta et al., 1991))	zebrafish	Actinopterygii: Teleostei	in situ	(Hatta et al., 1991)	3	(Ruvinsky et al., 2000) 
En1	eng1a	En1 (eng1a in ZFIN for (Hatta et al., 1991))	zebrafish	Actinopterygii: Teleostei	in situ	(Hatta et al., 1991)	3	(Sordino and Duboule, 1996)
Epha4		EphA4	chick	Sarcopterygii: Aves	phylogenetic analysis		4	(Freitas and Cohn, 2004) 
Epha4		EphA4	chick	Sarcopterygii: Aves	sequencing	sequence comparison	4	(Freitas and Cohn, 2004)  
Epha4		EphA4	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Freitas and Cohn, 2004)  
Epha4		EphA4	human	Sarcopterygii: Mammalia	sequencing	sequence comparison	4	(Freitas and Cohn, 2004)  
Epha4		EphA4	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	phylogenetic analysis		4	(Freitas and Cohn, 2004)  
Epha4		EphA4	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	PCR	RT-PCR	3	(Freitas and Cohn, 2004)  
Epha4		EphA4	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	sequencing	sequence comparison	4	(Freitas and Cohn, 2004)  
Epha4		EphA4	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount, whole mount immunocytochemistry	3	(Freitas and Cohn, 2004)  
Epha4		EphA4	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Freitas and Cohn, 2004)  
Epha4		EphA4	mouse	Sarcopterygii: Mammalia	sequencing	sequence comparison	4	(Freitas and Cohn, 2004)  
etv4	pea3	pea3	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
etv4	pea3	pea3	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
etv4	pea3	pea3	zebrafish	Actinopterygii: Teleostei	in situ		3	(Zhang et al., 2010)
etv5	etv5b	erm (etv5b in (Camarata et al., 2010) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
etv5	etv5b	Erm (etv5b in (Zhang et al., 2010) per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Zhang et al., 2010)
evx1	evx1	evx1	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008)
Evx2	evx2	evx2	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Evx2	evx2	evx2	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino and Duboule, 1996)	3	(Yano and Tamura, 2013)
ext2	ext2	ext2	zebrafish	Actinopterygii: Teleostei	in situ	(Norton et al., 2005)	3	(Yano and Tamura, 2013)
ext2	ext2	ext2	zebrafish	Actinopterygii: Teleostei	knockdown	(Norton et al., 2005)	2	(Yano and Tamura, 2013)
Fgf1		FGF1	chick	Sarcopterygii: Aves	ectopic expression	bead in flank (Cohn et al., 1995)	2	(Gibson-Brown et al., 1996)
Fgf1		Fgf1	chick	Sarcopterygii: Aves	ectopic expression	beads result in ectopic limb buds (Cohn et al., 1995)	2	(Tanaka et al., 2005)
Fgf10		Fgf-10	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002) 
Fgf10		Fgf10	chick	Sarcopterygii: Aves	in situ	(Takeuchi et al., 2003)	3	(Tanaka et al., 2005) 
Fgf10		Fgf10	chick	Sarcopterygii: Aves	ectopic expression	fgf10 injection into back of chick results in limb bud (Yonei-Tamura et al., 1999)	2	(Tanaka et al., 2005) 
Fgf10		Fgf10	chick	Sarcopterygii: Aves	in situ	(Ohuchi et al., 1997)	3	(Zeller, 2010)
Fgf10		Fgf10	mouse	Sarcopterygii: Mammalia	in situ	(Agarwal et al., 2003)	3	(Camarata et al., 2010)
Fgf10		Fgf10	mouse	Sarcopterygii: Mammalia	knockout	(Min et al., 1998)	1	(Camarata et al., 2010)
Fgf10		Fgf-10	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Fgf10		Fgf10	mouse	Sarcopterygii: Mammalia	in situ	(Naiche and Papaioannou, 2003)	3	(Horton et al., 2008)
Fgf10		Fgf10	mouse	Sarcopterygii: Mammalia	knockout	(Min et al., 1998)	1	(Jovelin et al., 2007)
Fgf10		Fgf10	mouse	Sarcopterygii: Mammalia	knockout	(Min et al., 1998)	1	(Nuno de la Rosa et al., 2014)
Fgf10		Fgf10	mouse	Sarcopterygii: Mammalia	in situ	(Agarwal et al., 2003)	3	(Tanaka et al., 2005) 
Fgf10		Fgf10	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Fgf10	fgf10a	fgf10 (fgf10a for (Camarata et al., 2010) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
Fgf10	fgf10a	fgf10 (fgf10a for (Norton et al., 2005) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Norton et al., 2005)	3	(Yano and Tamura, 2013)
Fgf10	fgf10a	fgf10 (fgf10a for (Norton et al., 2005) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	knockdown	morpholino knockdown (Norton et al., 2005)	2	(Yano and Tamura, 2013)
Fgf10	fgf10a	fgf10a	zebrafish	Actinopterygii: Teleostei	in situ	in situ after apical fold removal	3	(Yano et al., 2012)
Fgf10	fgf10a	fgf10a (also zfin)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Zhang et al., 2010)
fgf16	fgf16	Fgf16	zebrafish	Actinopterygii: Teleostei	in situ	(Nomura et al., 2006)	3	(Don et al., 2013)
fgf16	fgf16	fgf16	zebrafish	Actinopterygii: Teleostei	knockout	(Nomura et al., 2006)	1	(Jovelin et al., 2007) 
fgf16	fgf16	fgf16	zebrafish	Actinopterygii: Teleostei	in situ	(Nomura et al., 2006)	3	(Yano et al., 2012)
Fgf17		Fgf17	chick	Sarcopterygii: Aves	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
Fgf17		Fgf17	mouse	Sarcopterygii: Mammalia	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
fgf18	fgf18	fgf18	zebrafish	Actinopterygii: Teleostei	PCR		3	(Jovelin et al., 2007) 
fgf18	fgf18	fgf18	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Jovelin et al., 2007) 
Fgf2		FGF2	chick	Sarcopterygii: Aves	ectopic expression	bead in flank (Cohn et al., 1995)	2	(Gibson-Brown et al., 1996)
Fgf2		FGF2	chick	Sarcopterygii: Aves	in situ	Savage et al. 1993	3	(Gibson-Brown et al., 1996)
Fgf2		Fgf-2	chick	Sarcopterygii: Aves	misexpression	AER removal and fgf2 expression (Sordino et al., 1996)	2	(Hinchliffe, 2002)  
Fgf2		Fgf2	chick	Sarcopterygii: Aves	ectopic expression	beads result in ectopic limb buds (Cohn et al., 1995)	2	(Tanaka et al., 2005) 
Fgf2		Fgf-2	mouse	Sarcopterygii: Mammalia	misexpression	AER removal and fgf2 expression (Sordino et al., 1996)	2	(Hinchliffe, 2002)  
fgf24		Fgf24	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Amemiya et al., 2013)
fgf24		Fgf24	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	Genome sequencing	4	(Amemiya et al., 2013)
fgf24	fgf24	fgf24	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
fgf24	fgf24	Fgf24	zebrafish	Actinopterygii: Teleostei	in situ	(Fischer et al., 2003)	3	(Don et al., 2013)
fgf24	fgf24	fgf24	zebrafish	Actinopterygii: Teleostei	PCR		3	(Jovelin et al., 2007) 
fgf24	fgf24	fgf24	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Jovelin et al., 2007) 
fgf24	fgf24	fgf24	zebrafish	Actinopterygii: Teleostei	in situ	(Harvey and Logan, 2006)	3	(Yano and Tamura, 2013)
fgf24	fgf24	fgf24	zebrafish	Actinopterygii: Teleostei	knockdown	fgf24 morpholino knockdown (Harvey and Logan, 2006)	2	(Yano and Tamura, 2013)
fgf24	fgf24	fgf24	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yano et al., 2012)
fgf24	fgf24	fgf24	zebrafish	Actinopterygii: Teleostei	in situ	in situ after apical fold removal	3	(Yano et al., 2012)
Fgf4		Fgf4	chick	Sarcopterygii: Aves	in situ	(Ohuchi et al., 1997)	3	(Camarata et al., 2010)
Fgf4		FGF4	chick	Sarcopterygii: Aves	ectopic expression	bead in flank (Cohn et al., 1995)	2	(Gibson-Brown et al., 1996)
Fgf4		Fgf-4	chick	Sarcopterygii: Aves	misexpression	AER removal and fgf4 expression (Sordino et al., 1996)	2	(Hinchliffe, 2002)  
Fgf4		Fgf4	chick	Sarcopterygii: Aves	ectopic expression	beads result in ectopic limb buds (Cohn et al., 1995)	2	(Tanaka et al., 2005) 
Fgf4		Fgf4	chick	Sarcopterygii: Aves	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
Fgf4		Fgf4	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	knockdown	antibody against Fgf4	2	(Sakamoto et al., 2009)
Fgf4		Fgf4	mouse	Sarcopterygii: Mammalia	knockdown	(Sun et al., 2002)	2	(Abbasi, 2011)
Fgf4		Fgf-4	mouse	Sarcopterygii: Mammalia	in situ	(Laufer et al., 1994)	3	(Akimenko and Ekker, 1995) 
Fgf4		FGF4	mouse	Sarcopterygii: Mammalia	in situ	(Niswander and Martin, 1992)	3	(Gibson-Brown et al., 1996)
Fgf4		Fgf-4	mouse	Sarcopterygii: Mammalia	misexpression 	AER removal and fgf4 expression (Sordino et al., 1996)	2	(Hinchliffe, 2002)  
Fgf4		Fgf4	mouse	Sarcopterygii: Mammalia	in situ	(Mahmood et al., 1995)	3	(Jovelin et al., 2007) 
Fgf4		Fgf4	mouse	Sarcopterygii: Mammalia	in situ	(Laufer et al., 1994)	3	(Sordino and Duboule, 1996)
Fgf4		Fgf4	mouse	Sarcopterygii: Mammalia	knockout	(Sun et al., 2000)	1	(Yano and Tamura, 2013)
Fgf4		Fgf4	mouse	Sarcopterygii: Mammalia	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
Fgf4	fgf4	fgf4	zebrafish	Actinopterygii: Teleostei	in situ	(Fischer et al., 2003; Nomura et al., 2006)	3	(Yano et al., 2012)
Fgf8		Fgf8	chick	Sarcopterygii: Aves	in situ	(Ohuchi et al., 1997)	3	(Camarata et al., 2010)
Fgf8		Fgf-8	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Fgf8		Fgf8	chick	Sarcopterygii: Aves	ectopic expression	bead implantation (Ohuchi et al., 1995)	2	(Tanaka et al., 2005) 
Fgf8		Fgf8	chick	Sarcopterygii: Aves	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
Fgf8		fgf-8	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	Immunolocalisation (Cohn et al., 1997; Tanaka and Tickle, 2004)	3	(Cole and Currie, 2007) 
Fgf8		Fgf8	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	(Freitas et al., 2006)	3	(Freitas et al., 2007)
Fgf8		Fgf8	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Sakamoto et al., 2009)
Fgf8		fgf8	dolphin (Stenella attenuata)	Sarcopterygii: Mammalia	in situ	(Thewissen et al., 2006)	3	(Richardson et al., 2009)
Fgf8		Fgf8	mouse	Sarcopterygii: Mammalia	knockdown	(Sun et al., 2002)	2	(Abbasi, 2011)
Fgf8		Fgf8	mouse	Sarcopterygii: Mammalia	knockout	(Lewandoski et al., 2000)	1	(Camarata et al., 2010)
Fgf8		FGF8	mouse	Sarcopterygii: Mammalia	in situ	(Crossley and Martin, 1995)	3	(Gibson-Brown et al., 1996)
Fgf8		FGF8	mouse	Sarcopterygii: Mammalia	sequencing	(Crossley and Martin, 1995)	4	(Gibson-Brown et al., 1996)
Fgf8		Fgf-8	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Fgf8		Fgf8	mouse	Sarcopterygii: Mammalia	in situ	(Sun et al., 2000)	3	(Yano and Tamura, 2013)
Fgf8		Fgf8	mouse	Sarcopterygii: Mammalia	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
Fgf8		fgf8	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Jovelin et al., 2007) 
Fgf8		fgf8a	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ		3	(Jovelin et al., 2007) 
Fgf8	fgf8a	fgf8a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
Fgf8	fgf8a	fgf8	zebrafish	Actinopterygii: Teleostei	PCR		3	(Jovelin et al., 2007) 
Fgf8	fgf8a	fgf8	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Jovelin et al., 2007) 
Fgf8	fgf8a	fgf8a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Jovelin et al., 2007) 
Fgf8	fgf8a	fgf8 (fgf8a from (Fischer et al., 2003) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Fischer et al., 2003; Nomura et al., 2006)	3	(Yano et al., 2012)
Fgf8	fgf8a	fgf8a (also zfin)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Zhang et al., 2010)
Fgf8	fgf8b	fgf8b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Jovelin et al., 2007) 
Fgf9		Fgf9	chick	Sarcopterygii: Aves	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
Fgf9		Fgf9	mouse	Sarcopterygii: Mammalia	in situ	(Allard and Tabin, 2009)	3	(Zeller, 2010)
Fgfr1		Fgfr1	mouse	Sarcopterygii: Mammalia	in situ		3	(Camarata et al., 2010)
Fgfr1	fgfr1	fgfr1 (identified in (Camarata et al., 2010) as fgfr1a in ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
Fgfr2		Fgfr2	mouse	Sarcopterygii: Mammalia	in situ		3	(Camarata et al., 2010)
Fgfr2		Fgfr2	mouse	Sarcopterygii: Mammalia	knockout		1	(Camarata et al., 2010)
Fgfr2		Fgfr2	mouse	Sarcopterygii: Mammalia	knockout	(Xu et al., 1998)	1	(Camarata et al., 2010)
Fgfr2	fgfr2	fgfr2	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
frem2a	frem2a	frem2a	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR	3	(Yano and Tamura, 2013)
frem2a	frem2a	frem2a	zebrafish	Actinopterygii: Teleostei	in situ	section in situ	3	(Yano and Tamura, 2013)
frem2a	frem2a	frem2a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(Yano and Tamura, 2013)
frem2a	frem2a	frem2a	zebrafish	Actinopterygii: Teleostei	in situ	(Yano and Tamura, 2013)	3	(Yano et al., 2012)
Gdf11		Gdf11	mouse	Sarcopterygii: Mammalia	knockout		1	(Don et al., 2013)
Gdf11	gdf11	Gdf11	zebrafish	Actinopterygii: Teleostei	knockout	(Murata et al., 2010)	1	(Don et al., 2013)
Gdf5		Gdf5	chick	Sarcopterygii: Aves	overexpression	(Francis-West et al., 1999)	2	(Crotwell and Mabee, 2007) 
Gdf5		Gdf5	chick	Sarcopterygii: Aves	in situ	(Storm and Kingsley, 1999)	3	(Crotwell and Mabee, 2007) 
Gdf5		Gdf5	chick	Sarcopterygii: Aves	ectopic expression	ectopic expression with bead (Storm and Kingsley, 1999)	2	(Crotwell and Mabee, 2007) 
Gdf5		gdf5	human	Sarcopterygii: Mammalia	natural mutation	natural mutants (reduced expression); Hunter-Thompson type chondrodysplasia	1	(Crotwell and Mabee, 2007) 
Gdf5		GDF5	mouse	Sarcopterygii: Mammalia	knockout	loss-of-function mutations in GDF5 (Storm et al., 1994)	1	(Cohn et al., 2002)
Gdf5		Gdf5	mouse	Sarcopterygii: Mammalia	in situ	(Storm and Kingsley, 1999)	3	(Crotwell and Mabee, 2007) 
Gdf5	gdf5	gdf5	zebrafish	Actinopterygii: Teleostei	in situ	(Crotwell et al., 2001)	3	(Crotwell and Mabee, 2007) 
Gli3		Gli3	chick	Sarcopterygii: Aves	in situ	(te Welscher et al., 2002)	3	(Sakamoto et al., 2009)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	knockout	(te Welscher et al., 2002)	1	(Abbasi, 2011)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	in situ	(Masuya et al., 1997)	3	(Ahn and Ho, 2008) 
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	in situ	(Methot and Basler, 1999)	3	(Berlivet et al., 2013)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	knockout	(Sheth et al., 2012)	1	(Davis, 2013)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	knockout	(Panman et al., 2005)	1	(Richardson et al., 2009)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	in situ	(Buscher et al., 1997; Zuniga and Zeller, 1999)	3	(Sakamoto et al., 2009)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	in situ	(te Welscher et al., 2002)	3	(Sakamoto et al., 2009)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	knockout	(te Welscher et al., 2002)	1	(Yano and Tamura, 2013)
Gli3		Gli3	mouse	Sarcopterygii: Mammalia	knockout	(te Welscher et al., 2002)	1	(Zeller, 2010)
Gli3	gli3	gli3	zebrafish	Actinopterygii: Teleostei	in situ		3	(Zhang et al., 2010)
